"site","local_deployment_time","field_sex","ring","mark","tag_id","tag_type","lat","lon"
"KK",2024-10-03 16:10:00,"M","CP16146","RG-GY","07EC","GPS",-42.415102,173.674726
"TS",2024-10-10 12:44:00,"F","CP16306","Flag-CY","266463","PTT",-43.73398,170.143566
"KT",2024-10-02 12:10:00,"F","CP16409","OO-BR","266440","PTT",-43.845691,172.431853
"KT",2024-10-21 14:35:00,"M","CP16446","OO-GB","0A96","GPS",-43.851742,172.397899
"MS",2024-10-05 10:57:00,"M","CP16501","Flag-MA","266467","PTT",-41.120263,173.031797
"TS",2024-10-10 17:32:00,"M","CP16504","Flag-CP","266426","PTT",-43.738776,170.143594
"KT",2024-10-22 10:07:00,"F","CP16507","Flag-KA","0AA1","GPS",-43.830575,172.601856
"KT",2024-10-22 11:14:00,"M","CP16508","Flag-K6","0AE1","GPS",-43.831706,172.596254
"CH",2024-10-24 00:09:18,"M","CP16510","Flag-H1","266419","PTT",-43.773296,-176.241469
"CH",2024-10-24 00:09:37,"F","CP16511","Flag-HK","266415","PTT",-43.773296,-176.241469
"KT",2024-10-21 16:05:00,"M","CP16524","Flag-K1","0ABF","GPS",-43.830902,172.613603
"TP",2024-10-16 11:53:00,"M","CP16526","Flag-T1","266392","PTT",-46.601901,168.420948
"TS",2024-10-11 16:20:00,"F","CP16533","Flag-CE","266448","PTT",-43.733096,170.143316
"TS",2024-10-11 15:42:00,"M","CP16534","Flag-9C","266373","PTT",-43.731722,170.145302
"TS",2024-10-11 12:44:00,"F","CP16535","Flag-CI","266409","PTT",NA,NA
"TS",2024-10-10 19:20:00,"M","CP16536","Flag-C7","266428","PTT",-43.736643,170.144062
"TS",2024-10-10 18:55:00,"M","CP16537","Flag-CV","266455","PTT",-43.736643,170.144062
"MS",2024-10-06 10:22:00,"M","CP16540","Flag-0M","266456","PTT",-41.124826,173.034323
"MS",2024-10-05 11:55:00,"F","CP16541","Flag-M8","266443","PTT",-41.11765,173.030661
